CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1101.382235,3.671274116666667,211.77550636345447,57.68858305462528,5.200335735685,272.404415625
1,576000,2125.217835,3.689614296875,230.5160498967771,32.542580528474474,9.218691177164104,141.172731977
1,768000,2837.469734,3.6946220494791664,242.32682076312372,25.622666943469397,11.70838307588675,105.735992668
1,1017600,3763.454349,3.6983631574292453,258.9859931168548,20.646464529909643,14.530332763045358,79.720390595
1,1248000,4618.155509,3.7004451193910257,273.2473967243139,17.751900521617394,16.899598982918743,64.9664031
1,1324800,4903.002272,3.7009377053140096,276.9154679901851,16.944966932136538,17.70437211246738,61.191839716
1,1497600,5544.364154,3.702166235309829,288.2903807502976,15.60073610970029,19.22986184052333,54.114660604
1,1612800,5971.813042,3.702761062748016,294.93382657294495,14.817989931951299,20.245660941712806,50.241744408
1,1708800,6327.77895,3.703054160814607,301.2935540274656,14.285796542377156,20.999879083401815,47.414876128
1,1804800,6684.491979,3.7037300415558514,319.10703129942686,14.323068352921801,20.945232725835748,44.884840972
6,300000,2327.259187,7.757530623333333,276.0122696224823,35.58490397159341,8.43054122724296,128.925080107
6,652800,5072.880381,7.770956465992647,339.81058923757683,20.10142828628165,14.924312627313997,59.154802478
6,806400,6269.330436,7.77446730654762,366.80552972262956,17.558831227966415,17.085419644684666,47.869592482
6,979200,7618.080244,7.77990220996732,414.9190569994515,16.347108437605176,18.351869454164426,39.39830712
6,1094400,8506.053475,7.772344184027777,445.5262397723884,15.720633368225672,19.083200592054762,35.285538684
6,1209600,9410.878976,7.780157883597884,478.2440767815872,15.253204281923034,19.667998569686617,31.894183373
6,1324800,10307.153164,7.780157883454106,516.8934639562174,15.053995170007262,19.928264664100812,29.12398051
6,1555200,12097.261986,7.778589239969135,620.0423153258264,15.387252145694356,19.49665847803408,24.816454886
6,1708800,13298.461811,7.782339542954119,706.7263490908763,15.95535404120902,18.8024658823094,22.57642447
6,1843200,14331.438399,7.7753029508463545,794.415969009256,16.64285864025467,18.02574945114173,20.949803742
6,1939200,15087.507544,7.780274104785478,866.3612862458717,17.241258221878205,17.400122203338768,19.900771763
6,2169600,16870.044424,7.775647319321534,1044.4393299683143,18.589601533693497,16.13805435561663,17.798641817
6,2208000,17186.067828,7.783545211956522,1065.7829800605216,18.62293746812601,16.109166478889993,17.473479889
6,2304000,17931.858936,7.782924885416667,1180.7483709151516,19.77373793079092,15.171638313909853,16.746784004
